Daily case
0.0
0.0
0.0
0.0
3.0
0.0
0.0
0.0
1.0
43.0
3.0
2.0
5.0
4.0
5.0
6.0
2.0
7.0
7.0
9.0
11.0
14.0
14.0
17.0
15.0
15.0
40.0
28.0
32.0
30.0
25.0
30.0
38.0
37.0
21.0
39.0
11.0
8.0
33.0
16.0
26.0
14.0
41.0
36.0
72.0
82.0
113.0
87.0
90.0
124.0
89.0
97.0
129.0
82.0
354.0
152.0
155.0
135.0
84.0
250.0
236.0
238.0
76.0
193.0
202.0
114.0
65.0
173.0
174.0
142.0
182.0
163.0
157.0
152.0
156.0
137.0
70.0
58.0
41.0
32.0
209.0
72.0
59.0
184.0
132.0
162.0
25.0
77.0
80.0
74.0
2030.0
500.0
272.0
53.0
76.0
848.0
305.0
194.0
263.0
234.0
207.0
534.0
485.0
535.0
356.0
473.0
741.0
271.0
486.0
629.0
671.0
317.0
275.0
551.0
733.0
912.0
725.0
753.0
617.0
766.0
462.0
1043.0
938.0
801.0
1170.0
1346.0
1882.0
972.0
618.0
1215.0
1020.0
1742.0
1049.0
681.0
738.0
782.0
859.0
721.0
748.0
763.0
758.0
787.0
430.0
930.0
1224.0
1146.0
811.0
889.0
276.0
396.0
376.0
2086.0
783.0
972.0
1077.0
949.0
503.0
2496.0
700.0
1452.0
442.0
795.0
3779.0
1391.0
565.0
593.0
323.0
340.0
1091.0
326.0
280.0
205.0
3099.0
366.0
608.0
412.0
259.0
142.0
168.0
249.0
111.0
190.0
246.0
279.0
152.0
130.0
282.0
146.0
201.0
109.0
251.0
350.0
276.0
189.0
241.0
171.0
409.0
473.0
178.0
143.0
251.0
718.0
984.0
146.0
106.0
68.0
941.0
191.0
205.0
113.0
213.0
404.0
88.0
185.0
364.0
123.0
82.0
84.0
459.0
86.0
343.0
263.0
305.0
106.0
510.0
148.0
270.0
312.0
372.0
213.0
245.0
396.0
371.0
217.0
266.0
346.0
270.0
295.0
394.0
336.0
278.0
382.0
137.0
580.0
464.0
259.0
165.0
839.0
946.0
196.0
883.0
423.0
522.0
326.0
603.0
120.0
580.0
1033.0
960.0
1072.0
1299.0
753.0
1360.0
1240.0
660.0
480.0
1844.0
2248.0
826.0
885.0
1689.0
1003.0
1031.0
1016.0
1562.0
1379.0
1027.0
894.0
1265.0
1524.0
1092.0
1392.0
1403.0
1978.0
1950.0
1404.0
1732.0
1682.0
908.0
1502.0
2098.0
1924.0
1460.0
2018.0
1488.0
1552.0
171.0
1040.0
2524.0
1162.0
1441.0
1418.0
0.0
0.0
6009.0
1420.0
2562.0
1818.0
2207.0
2106.0
2293.0
1987.0
1813.0
2979.0
2589.0
1796.0
2153.0
2432.0
1311.0
0.0
